Year,Debit,Credit,Net,Remarks,Label
FY23,30000.0,0,30000.0,"Services Professional Services , Consultancy Architects Services Design at Ameni",Services
FY23,270000.0,0,270000.0,"Services Professional Services , Consultancy Architects Services Design at Ameni",Services
FY23,250000.0,0,250000.0,Exp reclass entry in N2 (Godrej),Services
FY23,14500.0,0,14500.0,Dispenser Water - Frosty plus - (Make - Atlantis),Equipment
FY23,59400.0,0,59400.0,"Almirah - Office use , Steel Almirah with four shelves making five Compartment,",Equipment
FY23,59400.0,0,59400.0,"701257471208 Almirah - Office use , Steel Almirah with four shelves making five Compartment,",Equipment
FY23,12400.0,0,12400.0,Dispenser Water - Frosty plus - (Make - Atlantis),Equipment
FY23,12735479.0,0,12735479.0,Space matrix Cost T/f from project Upgradation of Toilets as G.F & 1st Floor (Interior & MEP Work of Accenture) Period-03/01/2022 to 15/03/2022 for Inv No RA-1(9312225024) Dt-15/03/2022 against WO/PO no SDPL/OP/2021/Dec/3653 Dt-03/01/2022 For T-3 For Code,Services
FY23,315000.0,0,315000.0,Provision reclass of Godrej May22,Services
FY23,30200.0,0,30200.0,1.5 Tr. Split AC - 2 Star - Non Inverter ( Daikin ),Equipment
FY23,1700.0,0,1700.0,Installation Charges Of Split AC,Equipment
FY23,5600.0,0,5600.0,Copper piping with 09MM Insulation- Mettube,Material
FY23,1000.0,0,1000.0,Electrical wiring 2.5 MM - 4 Core,Material
FY23,800.0,0,800.0,Drain Pipe 25 MM PVC with Insulation,Material
FY23,800.0,0,800.0,MS Stand for wall hanging ODU,Material
FY23,250000.0,0,250000.0,Consultancy Testing & Commissioning engineers/managers for – T11 HOTO,Services
FY23,3000000.0,0,3000000.0,Interior and MEP work of Tower-3 GF & FF Atrium As per Attach Order,Material
FY23,3000000.0,0,3000000.0,Interior and MEP work of Tower-3 GF & FF Atrium As per Attach Order,Material
FY23,9000000.0,0,9000000.0,Interior and MEP work of Tower-3 GF & FF Atrium As per Attach Order,Material
FY23,53400.0,0,53400.0,SITC of Camera licence for Server (Exacqvision),Services
FY23,312000.0,0,312000.0,Services Civil Work- Providing and fixing M.S.  rack Size = 71” (H) x 36” (L) x,Services
FY23,46400.0,0,46400.0,Services Fire Fighting- FAS System-Supply installation testing and commissioning,Services
FY23,4000.0,0,4000.0,Services Fire Fighting- FAS System-Supply installation testing and commissioning,Services
FY23,9000.0,0,9000.0,Services Fire Fighting- FAS System- Hooter cum Strobe Lights with output 85 Db a,Equipment
FY23,63000.0,0,63000.0,"Services Fire Fighting- FAS System- Supply, Laying, Testing & Commissioning of o",Services
FY23,10000.0,0,10000.0,Services Carpentry- Providing and installing wooden receiving desk 6' x 4'  as p,Services
FY23,1498291.5,0,1498291.5,Re-Furnishment of Ground Floor & First Floor Toilets of Tower 3 As per attach Or,Services
FY23,315000.0,0,315000.0,Provision reclass of Godrej May22,Services
FY23,27500.0,0,27500.0,"Eye Wash Portable Unit (EWP 07), Make - Euronics/equivalent, Size - 540mm*255mm*",Equipment
FY23,201381.0,0,201381.0,Project Solutions24997Confined Space R,Services
FY23,250000.0,0,250000.0,Consultancy Testing & Commissioning engi,Equipment
FY23,12326372.5,0,12326372.5,Expense provision for the Month of Jun22,Services
FY23,11655.0,0,11655.0,Supply & fixing of MS Conduit Pipe,Services
FY23,2724.0,0,2724.0,"""SITC NEC IP Phone Model IP7WW-8IPLD-C1 - 01 for Guest Bedroom Ground floor - 01",Equipment
FY23,3331.0,0,3331.0,"""SITC NEC IP Phone Model IP7WW-8IPLD-C1 - 01 for Guest Bedroom Ground floor - 01",Equipment
FY23,26180.0,0,26180.0,SITC of NEC PBXModel SL2100 Equipped with-  03 Analogue Trunk - 32 Hybrid Extens,Equipment
FY23,5950.0,0,5950.0,"""SITC of Valrack 15U Rack 5MMD with front glass door Accessories included in the",Equipment
FY23,2800.0,0,2800.0,"SITC of Sub Rack, Patch Cords & Krone Modules",Equipment
FY23,630.0,0,630.0,SITC Jumper Wire,Equipment
FY23,4200.0,0,4200.0,SITC UPS 1KVA with 30 minutes Backup,Services
FY23,32375.0,0,32375.0,"""SITC Panasonic Analogue Telephone KX-T7705 with Stainless Steel Housing '-",Equipment
FY23,16450.0,0,16450.0,SITC Cisco 8 Port Managed PoE Switch,Equipment
FY23,17360.0,0,17360.0,Supply & Laying of Multi Mode 6 Core OFC Cable (Mtr),Equipment
FY23,6720.0,0,6720.0,SITC Fully Loaded 6 Port LIU Box with 2 Pigtails,Equipment
FY23,4200.0,0,4200.0,SITC SFP Module,Services
FY23,1610.0,0,1610.0,SITC OFC Patch Cord,Services
FY23,29890.0,0,29890.0,TV LED - 43LK 5260 - (Make - LG),Equipment
FY23,749146.0,0,749146.0,Re-Furnishment of Ground Floor & First Floor Toilets of Tower 3 As per attach Or,Services
FY23,11000.0,0,11000.0,"Eye Wash Portable Unit (EWP 07), Make - Euronics/equivalent, Size - 540mm*255mm*",Equipment
FY23,16500.0,0,16500.0,"Eye Wash Portable Unit (EWP 07), Make - Euronics/equivalent, Size - 540mm*255mm*",Equipment
FY23,172350.0,0,172350.0,"751267512109 Staff locker Industrial (Make - TATA MS steel CRC sheet), Type: 12 units with pa",Material
FY23,3420441.0,0,3420441.0,Interior and MEP work of Tower-3 GF & FF Atrium As per Attach Order,Material
FY23,57450.0,0,57450.0,"741268532570 Staff locker Industrial (Make - TATA MS steel CRC sheet), Type: 12 units with pa",Material
FY23,114900.0,0,114900.0,"781268531298 Staff locker Industrial (Make - TATA MS steel CRC sheet), Type: 12 units with pa",Material
FY23,368000.0,0,368000.0,Exp transfer from R&M to CWIP_Nirvana,Services
FY23,92000.0,0,92000.0,Extension for Consultancy Testing & Commissioning MEP engineers for – T11 HOTO,Services
FY23,46000.0,0,46000.0,Extension for Consultancy Testing & Commissioning MEP engineers for – T11 HOTO,Services
FY23,46000.0,0,46000.0,Extension for Consultancy Testing & Commissioning MEP engineers for – T11 HOTO,Services
FY23,90720.0,0,90720.0,"WC  03/07/2022 Supplying, fixing, testing and commissioning of chilled water pipes of 2"" MS ""C""",Services
FY23,15600.0,0,15600.0,"Supplying, fixing, testing and commissioning of chilled water pipes of 32mm MS """,Services
FY23,42000.0,0,42000.0,"Insullation on 2"" dia pipe / valves with 19mm nitril foam closed cell elastomeri",Material
FY23,9600.0,0,9600.0,Insullation on 32mm dia pipe / valves with 19mm nitril foam closed cell elastome,Material
FY23,10500.0,0,10500.0,"SITC  MS Elbow 2""",Services
FY23,6540.0,0,6540.0,"SITC  MS Elbow1.5""",Services
FY23,14300.0,0,14300.0,"Supply fabrication of MS Angel , Rod, Nut bolts, clamp, anchor fashtner required",Services
FY23,8925.0,0,8925.0,"upply installation of pipe PVC drain line pipe 1"" dia size along with necessary",Material
FY23,39000.0,0,39000.0,"Supply, drawing, testing and commissioning of electrical cable 3CX2.5sqmm copper",Services
FY23,98320.0,0,98320.0,"791272034814 Exhaust Fan Flame Poof - Wall mounted Flame proof exhaust fan, Size 18” - (make",Equipment
FY23,391770.0,0,391770.0,"Supply, Installation, testing and commissioning of Hi wall fan coil unit 2TR wit",Services
FY23,8880.0,0,8880.0,"Supply, Installation, testing and commissioning of electrical On/Off switch, soc",Services
FY23,14000.0,0,14000.0,"Supply, Installation, testing and commissioning of electrical MCB box 150mm x 13",Equipment
FY23,17600.0,0,17600.0,Dismantling existing Aircool unit with shifting as per instruction,Equipment
FY23,9800.0,0,9800.0,Charges For Scoffolding.,Material
FY23,19000.0,0,19000.0,"Supply, drawing, testing and commissioning of electrical cable 3CX2.5sqmm copper",Services
FY23,25000.0,0,25000.0,"Supply, drawing, testing and commissioning of 40x50x40mm GI Cable tray for cabli",Services
FY23,110960.0,0,110960.0,"Supplying, fixing, testing and commissioning of chilled water pipes of 2"" MS ""C""",Services
FY23,26460.0,0,26460.0,"Supplying, fixing, testing and commissioning of chilled water pipes of 1.5""  MS",Services
FY23,18000.0,0,18000.0,SITC of copper connection for AC unit with flares,Services
FY23,76000.0,0,76000.0,"Insullation on 2"" dia pipe / valves with 19mm nitril foam closed cell elastomeri",Material
FY23,19600.0,0,19600.0,"Insullation on 1.5"" dia pipe / valves with 19mm nitril foam closed cell elastome",Material
FY23,4500.0,0,4500.0,"Strainer, Valves, Insullation with closed cell elastomeric nitrile rubber insula",Equipment
FY23,13500.0,0,13500.0,"Supply, Installation, testing and commissioning of 32mm with strainer valve PN 1",Services
FY23,9000.0,0,9000.0,"Supply, Installation, testing and commissioning of 32mm with without strainer va",Services
FY23,2000.0,0,2000.0,"SITC of AIR purge with fitting accessories make JCI/Castle  Size - 1/2""",Services
FY23,1600.0,0,1600.0,"SITC of ball valve with fitting accessories  1/2"" Make Sant/Leader",Services
FY23,6000.0,0,6000.0,"Supply installation of pipe PVC drain line  pipe 1"" dia size along with necessar",Services
FY23,19500.0,0,19500.0,"Supply fabrication of MS Angel , Rod, Nut bolts, clamp, anchor fashtner required",Services
FY23,15000.0,0,15000.0,"Charges for loading, unloading with freight charges .",Services
FY23,46000.0,0,46000.0,Extension for Consultancy Testing & Commissioning MEP engineers for – T11 HOTO,Services
FY23,177000.0,0,177000.0,MEP -HOTO of Tower 11A/MLCP,Material
FY23,936000.0,0,936000.0,Exp transfer from R&M to CWIP_Nirvana,Services
FY23,5374102.0,0,5374102.0,Upgradation of lobbies at G. Floor & 1st Floor in T-3,Material
FY23,113050.0,0,113050.0,SITC of Glass Door PPE Box with three partitions & two shelves on the right and,Services
FY23,72200.0,0,72200.0,"771275236990 Supply Insulation Tester - 5KV Digital Insulation Tester ,5 KV Insulation Tester Voltag",Equipment
FY23,12400.0,0,12400.0,Supply ofDispenser Water - Frosty plus - (Make - Atlantis),Services
FY23,33000.0,0,33000.0,Water Cooler,Equipment
FY23,15000.0,0,15000.0,Monobloc Pump,Equipment
FY23,31000.0,0,31000.0,"SUPPLY OF  Wheel Chair, Wheel Chair Folding Type Dim : 42"" L x 22"" W x 36"" H with 17"" Seat",Services
FY23,3291217.5,0,3291217.5,Expense Provision for Sep22,Services
FY23,18500.0,0,18500.0,SITC of AV system for training room,Equipment
FY23,85000.0,0,85000.0,SITC of AV system for training room,Equipment
FY23,6000.0,0,6000.0,SITC of AV system for training room,Equipment
FY23,10200.0,0,10200.0,SITC of AV system for training room,Equipment
FY23,4400.0,0,4400.0,SITC of AV system for training room,Equipment
FY23,3800.0,0,3800.0,SITC of AV system for training room,Equipment
FY23,1398.0,0,1398.0,SITC of AV system for training room,Equipment
FY23,1260.0,0,1260.0,SITC of AV system for training room,Equipment
FY23,2302.0,0,2302.0,SITC of AV system for training room,Equipment
FY23,26100.0,0,26100.0,Tester RCD - Rated Tripping Current :- 10/20/30/200/300/500m,Services
FY23,1450.0,0,1450.0,Tester LAN Cable- -Line Tester-D-Link,Equipment
FY23,12750.0,0,12750.0,Camera CCTV -DS-2CD1323G0E-I-IP Dome Camera 2MP-Hikvision,Equipment
FY23,5000.0,0,5000.0,Glass Plate- -Door release glass plate-Swastik,Equipment
FY23,1650.0,0,1650.0,Power adapter - ERD 12V 2A - 12 Volts 2 Amps power adapter for cameras,Equipment
FY23,5820.0,0,5820.0,"Hard Drive Surveillance -Capacity - 1 TB, Make - Seagate",Equipment
FY23,12750.0,0,12750.0,"Hard Drive Surveillance -Capacity -  4 TB, Make - Seagate",Equipment
FY23,18825.0,0,18825.0,Cable Cat6 Network -Type-CAT6 23 AWG SOLID BARE COPPER 305 MTR A Box,Equipment
FY23,4680.0,0,4680.0,Module SFP - DEM-310GT - Fibre 1 G SFP module Single mode - (make - D-Link),Services
FY23,13250.0,0,13250.0,UPS - Type:600VA (Make -APC),Equipment
FY23,1800.0,0,1800.0,Crimping Tool- -Crimping Tool-D-Link,Equipment
FY23,3870.0,0,3870.0,711288384473 Camera CCTV -DS-2CE16D0T-ITPF-HD Bullet Camera 2MP with switch mode button-Hikvi,Equipment
FY23,2540.0,0,2540.0,Camera CCTV -DS-2CE76D0T-ITPFS-HD Dome Camera 2MP with switch mode button-Hikvis,Equipment
FY23,10475.0,0,10475.0,"Hard Disk Drive- -6TB, Surveillance-Seagate",Equipment
FY23,26000.0,0,26000.0,Camera CCTV -DS-2CD1023G0E-I-IP Bullet Camera 2MP-Hikvision,Equipment
FY23,177000.0,0,177000.0,MEP -HOTO of Tower 11A/MLCP,Material
FY23,215000.0,0,215000.0,AIR OK PO 27245 SITC AirOK Air Cleaner for server room T11,Services
FY23,215000.0,0,215000.0,SITC of AirOK CG 1000 Air Cleaner(for server room) T-11,Equipment
FY23,138600.0,0,138600.0,ABT Meter CTPT foundation and ALT Structure installation at UPPCL Substation.,Equipment
FY23,115002.0,0,115002.0,ABT Meter CTPT foundation and ALT Structure installation at UPPCL Substation.,Equipment
FY23,16500.0,0,16500.0,Spring Seesaw Two Seater NES 4410 Size 5.5 x 1 x 1.5 Ft.,Equipment
FY23,32750.0,0,32750.0,Star Type MGRMS Seat NES 4205 Size 5 x 5 x 3 Ft.,Equipment
FY23,77850.0,0,77850.0,Multi Seater Swing NES 4110 Size 21 x 6 x 8 Ft.,Equipment
FY23,32550.0,0,32550.0,Toddler Slide NES 3801 Size 9 x 2 x 4.5 Ft.,Equipment
FY23,48000.0,0,48000.0,Trf to Exp to Cwip 0183202223,Services
FY23,77850.0,0,77850.0,NAREMA PO 27725 Multi Seater Swing for creche,Equipment
FY23,16500.0,0,16500.0,NAREMA PO 27725 Spring Seesaw Two Seater for creche,Equipment
FY23,32750.0,0,32750.0,NAREMA PO 27725 Star Type MGRMS Seat for creche,Equipment
FY23,32550.0,0,32550.0,NAREMA PO 27725 Toddler Slide NES for creche,Equipment
FY23,8300.0,0,8300.0,PINNACLE PO 28151 Shoe Shine Machine T1 Qty02,Equipment
FY23,15000.0,0,15000.0,Dr Aqua PO 25956 RO water centralization mono block pumpT2,Equipment
FY23,33000.0,0,33000.0,Dr Aqua PO 25956 RO water centralization water coolerT2,Equipment
FY23,132860.0,0,132860.0,EESS GLOBAL PO 26608 AV system for training room T2 Basement1,Equipment
FY23,15000.0,0,15000.0,Dr Aqua PO 25956 RO water centralization mono block pumpT3,Equipment
FY23,33000.0,0,33000.0,Dr Aqua PO 25956 RO water centralization water coolerT3,Equipment
FY23,1836.0,0,1836.0,SITC - MS Conduit 25mm with accessories (AKG/BEC),Equipment
FY23,5400.0,0,5400.0,SITC - Magnetic Lock LBS 600 BEL (BEL),Equipment
FY23,900.0,0,900.0,SITC - 12Vdc 3Amp Power Supply (Protekt),Equipment
FY23,175000.0,0,175000.0,SITC - Face Recognition Access Control Systems and proximity card (125 KHZ) (Vir,Services
FY23,25600.0,0,25600.0,SITC - Software for Access Controller (Virdi/IDIS),Services
FY23,2200.0,0,2200.0,SITC - Exit Touchless Button with Box (Sek - 300 NT),Equipment
FY23,980.0,0,980.0,SITC of CAT-6 Cable (D-Link),Services
FY23,5900.0,0,5900.0,SITC - Surface Mount Door Closer (Dorma Kaba T72),Equipment
FY23,1200.0,0,1200.0,SITC - 230 Vac 3 Pin Socket 6 Amp with Box (Anchor),Equipment
FY23,1580.0,0,1580.0,SITC - 3 Core Cable 1.5 Sqmm (Polycab/Anchor),Services
FY23,4150.0,0,4150.0,PINNACLE PO 28151 Shoe Shine Machine T5 Qty01,Equipment
FY23,4150.0,0,4150.0,PINNACLE PO 28151 Shoe Shine Machine T6 Qty01,Equipment
FY23,168000.0,0,168000.0,GIRI  Enterprises PO 27729 Chair Evacuation  T7 LG floorQty03,Services
FY23,4150.0,0,4150.0,PINNACLE PO 28151 Shoe Shine Machine T7 Qty01,Equipment
FY23,8400.0,0,8400.0,Supply and Installation of SS Table Tower-10 GF Lobby Reception (Date of WC-17-11-22),Equipment
FY23,300.0,0,300.0,Freight,Equipment
FY23,105000.0,0,105000.0,MMA DESIGN PO 27347 Chairs for food courtQty20,Equipment
FY23,4150.0,0,4150.0,PINNACLE PO 28151 Shoe Shine Machine Aminity block Qty01,Equipment
FY23,4150.0,0,4150.0,PINNACLE PO 28151 Shoe Shine Machine T11 Qty01,Equipment
FY23,210000.0,0,210000.0,"Supply, installation, testing and commissioning of air quality monitoring sensor",Services
FY23,110000.0,0,110000.0,"""Customized Dynamic Dashboard development  one time charges for software develop",Services
FY23,235000.0,0,235000.0,"""Customization/modification and integration of developed dashboard charges as pe",Services
FY23,1050000.0,0,1050000.0,"""Supply , Installation, testing  and Commissioning of LED TV 55'inch with Androi",Services
FY23,13800.0,0,13800.0,"""Web Portal Access Charges Per year includes A)24x7 data storage in dedicated ID",Services
FY23,30000.0,0,30000.0,Dashboard maintenance charges (per year) Includes Cloud charges for data storage,Services
FY23,168000.0,0,168000.0,"751296401063 Supply of  Chair Evacuation  T-7 LG floor  (300 H), Make - Evac+Chair, Height: 1050mm(folded) ; Width: 520",Material
FY23,35000.0,0,35000.0,"Air Blower with Exhausts Unit - 1200M,  Heavy duty power coated Armor sheet hous",Equipment
FY23,100000.0,0,100000.0,721298711734 Chair - PP Shell with wooden legs for Food court,Equipment
FY23,5000.0,0,5000.0,REIMBURESMENT OF  Freight & Cartridge of purchase of chair for food court,Services
FY23,29050.0,0,29050.0,"Automatic shoe polish machine Metal Tower,1,(6,5,7,11 & Aminity block)(T1-2 machine rest of tower Uesd 1 Machine (Material Recd. on 28-11-22)",Equipment
FY23,277500.0,0,277500.0,"791304018728  tower 1,11,11a,6,7,8,9 total unit breaker (7,17,24,2,1,16,28)(,Supply of unit 150 Extinguisher Fire - Size: 6 Kgs., Type: ABC, UL Powder, MAP-90, ISI marked, BIS",Services
FY23,237500.0,0,237500.0,"741304022287 (tower -11,11a,6, unit(30+65+5)Extinguisher Fire - Size: 4.5 Kgs., Type: CO2 , ISI marked, BIS certified - (Mak",Equipment
FY23,92500.0,0,92500.0,"Extinguisher Fire - Size: 6 Kgs., Type: ABC, UL Powder, MAP-90, ISI marked, BIS",Equipment
FY23,36697.5,0,36697.5,"Tower-2,5,6,7, each used 1, Amenity block used 2 Sanitary Pad & Sanitary Pouch Dispenser - ESN05 - 304 Grade ,stainless steel",Equipment
FY23,29992.5,0,29992.5,Amenity Block Baby Diaper changing station - Stainless Steel #304 Satin Finish Dimension: 905m,Services
FY23,50000.0,0,50000.0,"Tower 6,4,11,1 Unit total 75 (48,1,25,1) Received 12/12/22 fire Extinguisher Fire - Size: 45 Ltrs., Type: M/Foam Cartridge,  ISI marked, BIS cer",Equipment
FY23,16800.0,0,16800.0,"Extinguisher Fire - Size: 9 Ltrs. , Type: Water Stored Pressure, ISI marked, BIS",Equipment
FY23,123000.0,0,123000.0,"Extinguisher Fire - Size: 9 Ltrs., Type: M/Foam Stored Pressure,  ISI marked, BI",Equipment
FY23,23500.0,0,23500.0,Supply of hand pallet received date13/12/22,Services
FY23,67500.0,0,67500.0,301536364959 Supply of 3 POS  Machine(moveable item),Equipment
FY23,24000.0,0,24000.0,SAFETY PO 27589 Exhaust Fan  Flexible Duct for Fire  SafetyQty02,Equipment
FY23,10510330.4,0,10510330.4,Expense Provision for Dec22,Services
FY23,150000.0,0,150000.0,AAZTEC PO 28225 Digital Directory LED Ki,Services
FY23,150000.0,0,150000.0,AAZTEC PO 28225 Digital Directory LED Ki,Services
FY23,150000.0,0,150000.0,AAZTEC PO 28225 Digital Directory LED Ki,Services
FY23,150000.0,0,150000.0,AAZTEC PO 28225 Digital Directory LED Ki,Services
FY23,150000.0,0,150000.0,AAZTEC PO 28225 Digital Directory LED Ki,Services
FY23,150000.0,0,150000.0,AAZTEC PO 28225 Digital Directory LED Ki,Services
FY23,18000.0,0,18000.0,"WC 23122022 SITC of Digital Directory, LED Kiosk T-5 To T-10",Equipment
FY23,882000.0,0,882000.0,"WC 23122022 SITC of Digital Directory, LED Kiosk T-5 To T-10",Equipment
FY23,130950.0,0,130950.0,"SITC of Washroom Odor Hygiene  Scent Diffuser, Model: Sens Pro  Coverage: 100-60",Equipment
FY23,34800.0,0,34800.0,Air Diffusion Fragrance Oil 1 Ltr Commercial Grade with certified air care use,Material
FY23,53600.0,0,53600.0,"SITC of AHU Connectable Scent Diffuser, Model: SH5000 Material: Metal Coverage:",Material
FY23,211500.0,0,211500.0,"SITC of Non AHU Type Scent Diffuser, Model: SHT2500 Material: Metal Coverage: 25",Services
FY23,3550.0,0,3550.0,Chair - PP Shell with wooden legs for Food court(DOR- 16-12-22),Services
FY23,5242.5,0,5242.5,EURONICS PO 28319 Sanitary Pad Dispenser Qty 01,Equipment
FY23,5242.5,0,5242.5,EURONICS PO 28319 Sanitary Pad Dispenser Qty 01,Equipment
FY23,41500.0,0,41500.0,"WC  18/01/23 SITC of Network Rack (T-5  GROUND FLOOR)- 42U Rack Enclosure Frame- 800X800-Steel with Accessories Like Fan, PDU, Cable Manager and complete as required"" (D-Link)",Equipment
FY23,41500.0,0,41500.0,"WC  18/01/23 SITC of Network Rack (T-5  GROUND FLOOR)- 42U Rack Enclosure Frame- 800X800-Steel with Accessories Like Fan, PDU, Cable Manager and complete as required"" (D-Link)",Equipment
FY23,830.0,0,830.0,:PO Number 28384,Services
FY23,41500.0,0,41500.0,"WC  18/01/23 SITC of Network Rack (T-5  GROUND FLOOR)- 42U Rack Enclosure Frame- 800X800-Steel with Accessories Like Fan, PDU, Cable Manager and complete as required"" (D-Link)",Equipment
FY23,41500.0,0,41500.0,"WC  18/01/23 SITC of Network Rack (T-5  GROUND FLOOR)- 42U Rack Enclosure Frame- 800X800-Steel with Accessories Like Fan, PDU, Cable Manager and complete as required"" (D-Link)",Equipment
FY23,830.0,0,830.0,:PO Number 28384,Services
FY23,830.0,0,830.0,:PO Number 28384,Services
FY23,5242.5,0,5242.5,EURONICS PO 28319 Sanitary Pad Dispenser Qty 01,Equipment
FY23,5242.5,0,5242.5,EURONICS PO 28319 Sanitary Pad Dispenser Qty 01,Equipment
FY23,30200.0,0,30200.0,GLOBAL COM PO 29025 Projector for ESTATE OFFICE,Equipment
FY23,5242.5,0,5242.5,EURONICS PO 28319 Sanitary Pad Dispenser Qty 01,Equipment
FY23,200000.0,0,200000.0,Consultancy Testing & Commissioning engineers/managers for – T11 HOTO,Services
FY23,177000.0,0,177000.0,MEP -HOTO of Tower 11A/MLCP,Material
FY23,72000.0,0,72000.0,Supply installation testing and commissioning of air quality monitoring sensor (,Services
FY23,94000.0,0,94000.0,SITC of Customized Dynamic Dashboard development charges which will be compatibl,Services
FY23,120000.0,0,120000.0,Supply Installtion and Commissioning of Android media player for Digital Signage,Equipment
FY23,4600.0,0,4600.0,SITC of Web Portal Access Charges Per year includes  A)24x7 data storage in dedi,Services
FY23,10000.0,0,10000.0,SITC of Dashboard maintenance charges (per year) Includes Cloud charges for data,Services
FY23,66900.0,0,66900.0,461305751392 Supply of Chair PP Shell with wooden legs for Food court,Services
FY23,30200.0,0,30200.0,SUPPLY Projector ESTATE OFFICE  - Projector - EB-E01 - Epson Projector - (MAKE - Epson) DOR-04-02-23,Equipment
FY23,66900.0,0,66900.0,Narema PO 28720 Chairs for food court,Equipment
FY23,29992.5,0,29992.5,EURONICS PO 28319 Baby Diaper changing station QTY 01,Equipment
FY23,10485.0,0,10485.0,EURONICS PO 28319 Sanitary Pad Dispenser Qty 02,Equipment
FY23,75150.0,0,75150.0,GLOBAL ENGINEERING 28216 AQI monitoring,Services
FY23,75150.0,0,75150.0,GLOBAL ENGINEERING 28216 AQI monitoring,Services
FY23,39337.5,0,39337.5,EURONICS 29187 AUTOMATIC HAND DRYER wash,Equipment
FY23,86212.5,0,86212.5,EURONICS 29376 Automatic Paper Dispenser,Equipment
FY23,75150.0,0,75150.0,GLOBAL ENGINEERING 28216 AQI monitoring,Services
FY23,7867.5,0,7867.5,EURONICS 29187 AUTOMATIC HAND DRYER Driv,Equipment
FY23,75150.0,0,75150.0,GLOBAL ENGINEERING 28216 AQI monitoring,Services
FY23,7867.5,0,7867.5,EURONICS 29187 AUTOMATIC HAND DRYER wash,Equipment
FY23,274800.0,0,274800.0,GLOBAL ENGINEERING 27119 AQI monitoring,Services
FY23,274800.0,0,274800.0,GLOBAL ENGINEERING 27119 AQI monitoring,Services
FY23,7867.5,0,7867.5,EURONICS 29187 AUTOMATIC HAND DRYER wash,Equipment
FY23,274800.0,0,274800.0,GLOBAL ENGINEERING 27119 AQI monitoring,Services
FY23,274800.0,0,274800.0,GLOBAL ENGINEERING 27119 AQI monitoring,Services
FY23,274800.0,0,274800.0,GLOBAL ENGINEERING 27119 AQI monitoring,Services
FY23,274800.0,0,274800.0,GLOBAL ENGINEERING 27119 AQI monitoring,Services
FY23,284903.5,0,284903.5,SITC of converting Ph-1 analog CCTV camera into IP camera (Company-Siemens),Equipment
FY23,48748.0,0,48748.0,"Supply, Installation, Testing & Commissioning of 8TB Surveillance Internal Hard",Equipment
FY23,33306.0,0,33306.0,Supply of CAT 6Giga speed unshielded twisted pair computer cable with 23 AWG sol,Equipment
FY23,13181.7,0,13181.7,"Supply, Installation, Testing and commissioning of 9U Network Rack  with PDU, ca",Equipment
FY23,35329.0,0,35329.0,"Supply, installation, testing and commissioning of 43"" UHD TV. Vendor to select",Services
FY23,29400.0,0,29400.0,"Supply, Installation, Testing & Commissioning of 6 Core Fiber cable single Mode",Services
FY23,38752.0,0,38752.0,"Supply, Installation, Testing & Commissioning of Fiber  GiGa Bit SFP module 1 GL",Services
FY23,21288.4,0,21288.4,"Supply, Installation, Testing & Commissioning of LIU 12 Core with splice tray an",Equipment
FY23,3421.6,0,3421.6,"Supply, Installation, Testing & Commissioning of LC to LC Fiber Patch code 2 MTR",Services
FY23,5602.8,0,5602.8,"SITC of 500 VA offline UPS with 15 Mins of battery backup  (Microtek, Luminuous,",Equipment
FY23,540.4,0,540.4,SITC of Wireless Mouse (Microsoft/ Logitech/ HP),Equipment
FY23,62755.0,0,62755.0,SITC of converting Ph-1 analog CCTV camera into IP camera (Company-Siemens),Equipment
FY23,68460.0,0,68460.0,"SITC of Ph-3 Terrace, basement & critical utilities CCTV camera",Services
FY23,68460.0,0,68460.0,"SITC of Ph-3 Terrace, basement & critical utilities CCTV camera",Services
FY23,78675.0,0,78675.0,301560800487 SUPPLY OF Hand Dryer - Hand Dryer -  EH270N - Euronics Hand Dryer EH270N - (MAKE - Euronics),Equipment
FY23,48600.0,0,48600.0,251550965284  Supply of camera Estate office,Services
FY23,34000.0,0,34000.0,Ahuja - TZA 4000 DP (200 + 200 Watts),Equipment
FY23,12120.0,0,12120.0,Ahuja - Sound Projector SP-5251T (25 Watts),Equipment
FY23,25600.0,0,25600.0,Ahuja - CSD 6303T (30 Watts),Equipment
FY23,22500.0,0,22500.0,Wiring and installation,Services
FY23,6000.0,0,6000.0,Android music device - Amkette,Equipment
FY23,86212.5,0,86212.5,"311567205646 supply of  paper DISPENSER Tower -2 (Washroom) HRT (EP08S AC) - DISPENSER HRT (EP08S AC), Make - EURONICS, TYPE: AUTOMATIC HRT/PAPER TOWEL DISPENSER",Services
FY23,86212.5,0,86212.5,"311567205646 supply of  paper DISPENSER Tower -2 (Washroom) HRT (EP08S AC) - DISPENSER HRT (EP08S AC), Make - EURONICS, TYPE: AUTOMATIC HRT/PAPER TOWEL DISPENSER",Services
FY23,210565.6,0,210565.6,SITC of converting Ph-1 analog CCTV camera into IP camera (Company-Siemens),Equipment
FY23,177377.2,0,177377.2,"""Supply, Installation, Testing & Commissioning of Outdoor IP Fixed Bullet IR Cam",Equipment
FY23,162190.0,0,162190.0,"""Supply, Installation, Testing & Commissioning of 32ch Linux Network Video Recor",Services
FY23,10906240.85,0,10906240.85,Expense provision for Mar23,Services
FY23,100220.0,0,100220.0,RADIOWALLA 29090 Music System at Food Co,Equipment
FY23,15735.0,0,15735.0,EURONICS 29187 AUTOMATIC HAND DRYER Food,Equipment
