Year,Debit,Credit,Net,Remarks,Cluster,Label,Remarks_cleaned
FY23,30000.0,0,30000.0,"Services Professional Services , Consultancy Architects Services Design at Ameni",2,Material,services professional services consultancy architects services design at ameni
FY23,270000.0,0,270000.0,"Services Professional Services , Consultancy Architects Services Design at Ameni",2,Material,services professional services consultancy architects services design at ameni
FY23,250000.0,0,250000.0,Exp reclass entry in N2 (Godrej),0,Services,exp reclass entry in n2 godrej
FY23,14500.0,0,14500.0,Dispenser Water - Frosty plus - (Make - Atlantis),0,Services,dispenser water frosty plus make atlantis
FY23,59400.0,0,59400.0,"Almirah - Office use , Steel Almirah with four shelves making five Compartment,",0,Services,almirah office use steel almirah with four shelves making five compartment
FY23,59400.0,0,59400.0,"701257471208 Almirah - Office use , Steel Almirah with four shelves making five Compartment,",0,Services,almirah office use steel almirah with four shelves making five compartment
FY23,12400.0,0,12400.0,Dispenser Water - Frosty plus - (Make - Atlantis),0,Services,dispenser water frosty plus make atlantis
FY23,12735479.0,0,12735479.0,Space matrix Cost T/f from project Upgradation of Toilets as G.F & 1st Floor (Interior & MEP Work of Accenture) Period-03/01/2022 to 15/03/2022 for Inv No RA-1(9312225024) Dt-15/03/2022 against WO/PO no SDPL/OP/2021/Dec/3653 Dt-03/01/2022 For T-3 For Code,1,Equipment,space matrix cost tf from project upgradation of toilets as gf 1st floor interior mep work of accenture period to for inv no ra dt against wopo no sdplopdec dt for t for code
FY23,315000.0,0,315000.0,Provision reclass of Godrej May22,0,Services,provision reclass of godrej may22
FY23,30200.0,0,30200.0,1.5 Tr. Split AC - 2 Star - Non Inverter ( Daikin ),1,Equipment,tr split ac star non inverter daikin
FY23,1700.0,0,1700.0,Installation Charges Of Split AC,1,Equipment,installation charges of split ac
FY23,5600.0,0,5600.0,Copper piping with 09MM Insulation- Mettube,2,Material,copper piping with 09mm insulation mettube
FY23,1000.0,0,1000.0,Electrical wiring 2.5 MM - 4 Core,2,Material,electrical wiring mm core
FY23,800.0,0,800.0,Drain Pipe 25 MM PVC with Insulation,0,Services,drain pipe mm pvc with insulation
FY23,800.0,0,800.0,MS Stand for wall hanging ODU,0,Services,ms stand for wall hanging odu
FY23,250000.0,0,250000.0,Consultancy Testing & Commissioning engineers/managers for – T11 HOTO,2,Material,consultancy testing commissioning engineersmanagers for t11 hoto
FY23,3000000.0,0,3000000.0,Interior and MEP work of Tower-3 GF & FF Atrium As per Attach Order,1,Equipment,interior and mep work of tower gf ff atrium as per attach order
FY23,3000000.0,0,3000000.0,Interior and MEP work of Tower-3 GF & FF Atrium As per Attach Order,1,Equipment,interior and mep work of tower gf ff atrium as per attach order
FY23,9000000.0,0,9000000.0,Interior and MEP work of Tower-3 GF & FF Atrium As per Attach Order,1,Equipment,interior and mep work of tower gf ff atrium as per attach order
FY23,53400.0,0,53400.0,SITC of Camera licence for Server (Exacqvision),1,Equipment,sitc of camera licence for server exacqvision
FY23,312000.0,0,312000.0,Services Civil Work- Providing and fixing M.S.  rack Size = 71” (H) x 36” (L) x,0,Services,services civil work providing and fixing ms rack size h x l x
FY23,46400.0,0,46400.0,Services Fire Fighting- FAS System-Supply installation testing and commissioning,2,Material,services fire fighting fas systemsupply installation testing and commissioning
FY23,4000.0,0,4000.0,Services Fire Fighting- FAS System-Supply installation testing and commissioning,2,Material,services fire fighting fas systemsupply installation testing and commissioning
FY23,9000.0,0,9000.0,Services Fire Fighting- FAS System- Hooter cum Strobe Lights with output 85 Db a,2,Material,services fire fighting fas system hooter cum strobe lights with output db a
FY23,63000.0,0,63000.0,"Services Fire Fighting- FAS System- Supply, Laying, Testing & Commissioning of o",2,Material,services fire fighting fas system supply laying testing commissioning of o
FY23,10000.0,0,10000.0,Services Carpentry- Providing and installing wooden receiving desk 6' x 4'  as p,1,Equipment,services carpentry providing and installing wooden receiving desk x as p
FY23,1498291.5,0,1498291.5,Re-Furnishment of Ground Floor & First Floor Toilets of Tower 3 As per attach Or,1,Equipment,refurnishment of ground floor first floor toilets of tower as per attach or
FY23,315000.0,0,315000.0,Provision reclass of Godrej May22,0,Services,provision reclass of godrej may22
FY23,27500.0,0,27500.0,"Eye Wash Portable Unit (EWP 07), Make - Euronics/equivalent, Size - 540mm*255mm*",0,Services,eye wash portable unit ewp make euronicsequivalent size 540mm255mm
FY23,201381.0,0,201381.0,Project Solutions24997Confined Space R,1,Equipment,project solutions24997confined space r
FY23,250000.0,0,250000.0,Consultancy Testing & Commissioning engi,2,Material,consultancy testing commissioning engi
FY23,12326372.5,0,12326372.5,Expense provision for the Month of Jun22,0,Services,expense provision for the month of jun22
FY23,11655.0,0,11655.0,Supply & fixing of MS Conduit Pipe,0,Services,supply fixing of ms conduit pipe
FY23,2724.0,0,2724.0,"""SITC NEC IP Phone Model IP7WW-8IPLD-C1 - 01 for Guest Bedroom Ground floor - 01",1,Equipment,sitc nec ip phone model ip7ww8ipldc1 for guest bedroom ground floor
FY23,3331.0,0,3331.0,"""SITC NEC IP Phone Model IP7WW-8IPLD-C1 - 01 for Guest Bedroom Ground floor - 01",1,Equipment,sitc nec ip phone model ip7ww8ipldc1 for guest bedroom ground floor
FY23,26180.0,0,26180.0,SITC of NEC PBXModel SL2100 Equipped with-  03 Analogue Trunk - 32 Hybrid Extens,1,Equipment,sitc of nec pbxmodel sl2100 equipped with analogue trunk hybrid extens
FY23,5950.0,0,5950.0,"""SITC of Valrack 15U Rack 5MMD with front glass door Accessories included in the",1,Equipment,sitc of valrack 15u rack 5mmd with front glass door accessories included in the
FY23,2800.0,0,2800.0,"SITC of Sub Rack, Patch Cords & Krone Modules",1,Equipment,sitc of sub rack patch cords krone modules
FY23,630.0,0,630.0,SITC Jumper Wire,1,Equipment,sitc jumper wire
FY23,4200.0,0,4200.0,SITC UPS 1KVA with 30 minutes Backup,1,Equipment,sitc ups 1kva with minutes backup
FY23,32375.0,0,32375.0,"""SITC Panasonic Analogue Telephone KX-T7705 with Stainless Steel Housing '-",1,Equipment,sitc panasonic analogue telephone kxt7705 with stainless steel housing
FY23,16450.0,0,16450.0,SITC Cisco 8 Port Managed PoE Switch,1,Equipment,sitc cisco port managed poe switch
FY23,17360.0,0,17360.0,Supply & Laying of Multi Mode 6 Core OFC Cable (Mtr),1,Equipment,supply laying of multi mode core ofc cable mtr
FY23,6720.0,0,6720.0,SITC Fully Loaded 6 Port LIU Box with 2 Pigtails,1,Equipment,sitc fully loaded port liu box with pigtails
FY23,4200.0,0,4200.0,SITC SFP Module,1,Equipment,sitc sfp module
FY23,1610.0,0,1610.0,SITC OFC Patch Cord,1,Equipment,sitc ofc patch cord
FY23,29890.0,0,29890.0,TV LED - 43LK 5260 - (Make - LG),1,Equipment,tv led 43lk make lg
FY23,749146.0,0,749146.0,Re-Furnishment of Ground Floor & First Floor Toilets of Tower 3 As per attach Or,1,Equipment,refurnishment of ground floor first floor toilets of tower as per attach or
FY23,11000.0,0,11000.0,"Eye Wash Portable Unit (EWP 07), Make - Euronics/equivalent, Size - 540mm*255mm*",0,Services,eye wash portable unit ewp make euronicsequivalent size 540mm255mm
FY23,16500.0,0,16500.0,"Eye Wash Portable Unit (EWP 07), Make - Euronics/equivalent, Size - 540mm*255mm*",0,Services,eye wash portable unit ewp make euronicsequivalent size 540mm255mm
FY23,172350.0,0,172350.0,"751267512109 Staff locker Industrial (Make - TATA MS steel CRC sheet), Type: 12 units with pa",0,Services,staff locker industrial make tata ms steel crc sheet type units with pa
FY23,3420441.0,0,3420441.0,Interior and MEP work of Tower-3 GF & FF Atrium As per Attach Order,1,Equipment,interior and mep work of tower gf ff atrium as per attach order
FY23,57450.0,0,57450.0,"741268532570 Staff locker Industrial (Make - TATA MS steel CRC sheet), Type: 12 units with pa",0,Services,staff locker industrial make tata ms steel crc sheet type units with pa
FY23,114900.0,0,114900.0,"781268531298 Staff locker Industrial (Make - TATA MS steel CRC sheet), Type: 12 units with pa",0,Services,staff locker industrial make tata ms steel crc sheet type units with pa
FY23,368000.0,0,368000.0,Exp transfer from R&M to CWIP_Nirvana,0,Services,exp transfer from rm to cwipnirvana
FY23,92000.0,0,92000.0,Extension for Consultancy Testing & Commissioning MEP engineers for – T11 HOTO,2,Material,extension for consultancy testing commissioning mep engineers for t11 hoto
FY23,46000.0,0,46000.0,Extension for Consultancy Testing & Commissioning MEP engineers for – T11 HOTO,2,Material,extension for consultancy testing commissioning mep engineers for t11 hoto
FY23,46000.0,0,46000.0,Extension for Consultancy Testing & Commissioning MEP engineers for – T11 HOTO,2,Material,extension for consultancy testing commissioning mep engineers for t11 hoto
FY23,90720.0,0,90720.0,"WC  03/07/2022 Supplying, fixing, testing and commissioning of chilled water pipes of 2"" MS ""C""",2,Material,wc supplying fixing testing and commissioning of chilled water pipes of ms c
FY23,15600.0,0,15600.0,"Supplying, fixing, testing and commissioning of chilled water pipes of 32mm MS """,2,Material,supplying fixing testing and commissioning of chilled water pipes of 32mm ms
FY23,42000.0,0,42000.0,"Insullation on 2"" dia pipe / valves with 19mm nitril foam closed cell elastomeri",0,Services,insullation on dia pipe valves with 19mm nitril foam closed cell elastomeri
FY23,9600.0,0,9600.0,Insullation on 32mm dia pipe / valves with 19mm nitril foam closed cell elastome,0,Services,insullation on 32mm dia pipe valves with 19mm nitril foam closed cell elastome
FY23,10500.0,0,10500.0,"SITC  MS Elbow 2""",0,Services,sitc ms elbow
FY23,6540.0,0,6540.0,"SITC  MS Elbow1.5""",0,Services,sitc ms elbow1
FY23,14300.0,0,14300.0,"Supply fabrication of MS Angel , Rod, Nut bolts, clamp, anchor fashtner required",0,Services,supply fabrication of ms angel rod nut bolts clamp anchor fashtner required
FY23,8925.0,0,8925.0,"upply installation of pipe PVC drain line pipe 1"" dia size along with necessary",0,Services,upply installation of pipe pvc drain line pipe dia size along with necessary
FY23,39000.0,0,39000.0,"Supply, drawing, testing and commissioning of electrical cable 3CX2.5sqmm copper",2,Material,supply drawing testing and commissioning of electrical cable 3cx25sqmm copper
FY23,98320.0,0,98320.0,"791272034814 Exhaust Fan Flame Poof - Wall mounted Flame proof exhaust fan, Size 18” - (make",0,Services,exhaust fan flame poof wall mounted flame proof exhaust fan size make
FY23,391770.0,0,391770.0,"Supply, Installation, testing and commissioning of Hi wall fan coil unit 2TR wit",2,Material,supply installation testing and commissioning of hi wall fan coil unit 2tr wit
FY23,8880.0,0,8880.0,"Supply, Installation, testing and commissioning of electrical On/Off switch, soc",2,Material,supply installation testing and commissioning of electrical onoff switch soc
FY23,14000.0,0,14000.0,"Supply, Installation, testing and commissioning of electrical MCB box 150mm x 13",2,Material,supply installation testing and commissioning of electrical mcb box 150mm x
FY23,17600.0,0,17600.0,Dismantling existing Aircool unit with shifting as per instruction,0,Services,dismantling existing aircool unit with shifting as per instruction
FY23,9800.0,0,9800.0,Charges For Scoffolding.,0,Services,charges for scoffolding
FY23,19000.0,0,19000.0,"Supply, drawing, testing and commissioning of electrical cable 3CX2.5sqmm copper",2,Material,supply drawing testing and commissioning of electrical cable 3cx25sqmm copper
FY23,25000.0,0,25000.0,"Supply, drawing, testing and commissioning of 40x50x40mm GI Cable tray for cabli",2,Material,supply drawing testing and commissioning of 40x50x40mm gi cable tray for cabli
FY23,110960.0,0,110960.0,"Supplying, fixing, testing and commissioning of chilled water pipes of 2"" MS ""C""",2,Material,supplying fixing testing and commissioning of chilled water pipes of ms c
FY23,26460.0,0,26460.0,"Supplying, fixing, testing and commissioning of chilled water pipes of 1.5""  MS",2,Material,supplying fixing testing and commissioning of chilled water pipes of ms
FY23,18000.0,0,18000.0,SITC of copper connection for AC unit with flares,2,Material,sitc of copper connection for ac unit with flares
FY23,76000.0,0,76000.0,"Insullation on 2"" dia pipe / valves with 19mm nitril foam closed cell elastomeri",0,Services,insullation on dia pipe valves with 19mm nitril foam closed cell elastomeri
FY23,19600.0,0,19600.0,"Insullation on 1.5"" dia pipe / valves with 19mm nitril foam closed cell elastome",0,Services,insullation on dia pipe valves with 19mm nitril foam closed cell elastome
FY23,4500.0,0,4500.0,"Strainer, Valves, Insullation with closed cell elastomeric nitrile rubber insula",0,Services,strainer valves insullation with closed cell elastomeric nitrile rubber insula
FY23,13500.0,0,13500.0,"Supply, Installation, testing and commissioning of 32mm with strainer valve PN 1",2,Material,supply installation testing and commissioning of 32mm with strainer valve pn
FY23,9000.0,0,9000.0,"Supply, Installation, testing and commissioning of 32mm with without strainer va",2,Material,supply installation testing and commissioning of 32mm with without strainer va
FY23,2000.0,0,2000.0,"SITC of AIR purge with fitting accessories make JCI/Castle  Size - 1/2""",0,Services,sitc of air purge with fitting accessories make jcicastle size
FY23,1600.0,0,1600.0,"SITC of ball valve with fitting accessories  1/2"" Make Sant/Leader",0,Services,sitc of ball valve with fitting accessories make santleader
FY23,6000.0,0,6000.0,"Supply installation of pipe PVC drain line  pipe 1"" dia size along with necessar",0,Services,supply installation of pipe pvc drain line pipe dia size along with necessar
FY23,19500.0,0,19500.0,"Supply fabrication of MS Angel , Rod, Nut bolts, clamp, anchor fashtner required",0,Services,supply fabrication of ms angel rod nut bolts clamp anchor fashtner required
FY23,15000.0,0,15000.0,"Charges for loading, unloading with freight charges .",0,Services,charges for loading unloading with freight charges
FY23,46000.0,0,46000.0,Extension for Consultancy Testing & Commissioning MEP engineers for – T11 HOTO,2,Material,extension for consultancy testing commissioning mep engineers for t11 hoto
FY23,177000.0,0,177000.0,MEP -HOTO of Tower 11A/MLCP,2,Material,mep hoto of tower 11amlcp
FY23,936000.0,0,936000.0,Exp transfer from R&M to CWIP_Nirvana,0,Services,exp transfer from rm to cwipnirvana
FY23,5374102.0,0,5374102.0,Upgradation of lobbies at G. Floor & 1st Floor in T-3,1,Equipment,upgradation of lobbies at g floor 1st floor in t
FY23,113050.0,0,113050.0,SITC of Glass Door PPE Box with three partitions & two shelves on the right and,1,Equipment,sitc of glass door ppe box with three partitions two shelves on the right and
FY23,72200.0,0,72200.0,"771275236990 Supply Insulation Tester - 5KV Digital Insulation Tester ,5 KV Insulation Tester Voltag",2,Material,supply insulation tester 5kv digital insulation tester kv insulation tester voltag
FY23,12400.0,0,12400.0,Supply ofDispenser Water - Frosty plus - (Make - Atlantis),0,Services,supply ofdispenser water frosty plus make atlantis
FY23,33000.0,0,33000.0,Water Cooler,0,Services,water cooler
FY23,15000.0,0,15000.0,Monobloc Pump,0,Services,monobloc pump
FY23,31000.0,0,31000.0,"SUPPLY OF  Wheel Chair, Wheel Chair Folding Type Dim : 42"" L x 22"" W x 36"" H with 17"" Seat",0,Services,supply of wheel chair wheel chair folding type dim l x w x h with seat
FY23,3291217.5,0,3291217.5,Expense Provision for Sep22,0,Services,expense provision for sep22
FY23,18500.0,0,18500.0,SITC of AV system for training room,1,Equipment,sitc of av system for training room
FY23,85000.0,0,85000.0,SITC of AV system for training room,1,Equipment,sitc of av system for training room
FY23,6000.0,0,6000.0,SITC of AV system for training room,1,Equipment,sitc of av system for training room
FY23,10200.0,0,10200.0,SITC of AV system for training room,1,Equipment,sitc of av system for training room
FY23,4400.0,0,4400.0,SITC of AV system for training room,1,Equipment,sitc of av system for training room
FY23,3800.0,0,3800.0,SITC of AV system for training room,1,Equipment,sitc of av system for training room
FY23,1398.0,0,1398.0,SITC of AV system for training room,1,Equipment,sitc of av system for training room
FY23,1260.0,0,1260.0,SITC of AV system for training room,1,Equipment,sitc of av system for training room
FY23,2302.0,0,2302.0,SITC of AV system for training room,1,Equipment,sitc of av system for training room
FY23,26100.0,0,26100.0,Tester RCD - Rated Tripping Current :- 10/20/30/200/300/500m,2,Material,tester rcd rated tripping current 500m
FY23,1450.0,0,1450.0,Tester LAN Cable- -Line Tester-D-Link,2,Material,tester lan cable line testerdlink
FY23,12750.0,0,12750.0,Camera CCTV -DS-2CD1323G0E-I-IP Dome Camera 2MP-Hikvision,1,Equipment,camera cctv ds2cd1323g0eiip dome camera 2mphikvision
FY23,5000.0,0,5000.0,Glass Plate- -Door release glass plate-Swastik,0,Services,glass plate door release glass plateswastik
FY23,1650.0,0,1650.0,Power adapter - ERD 12V 2A - 12 Volts 2 Amps power adapter for cameras,1,Equipment,power adapter erd 12v 2a volts amps power adapter for cameras
FY23,5820.0,0,5820.0,"Hard Drive Surveillance -Capacity - 1 TB, Make - Seagate",1,Equipment,hard drive surveillance capacity tb make seagate
FY23,12750.0,0,12750.0,"Hard Drive Surveillance -Capacity -  4 TB, Make - Seagate",1,Equipment,hard drive surveillance capacity tb make seagate
FY23,18825.0,0,18825.0,Cable Cat6 Network -Type-CAT6 23 AWG SOLID BARE COPPER 305 MTR A Box,1,Equipment,cable cat6 network typecat6 awg solid bare copper mtr a box
FY23,4680.0,0,4680.0,Module SFP - DEM-310GT - Fibre 1 G SFP module Single mode - (make - D-Link),1,Equipment,module sfp dem310gt fibre g sfp module single mode make dlink
FY23,13250.0,0,13250.0,UPS - Type:600VA (Make -APC),1,Equipment,ups type600va make apc
FY23,1800.0,0,1800.0,Crimping Tool- -Crimping Tool-D-Link,0,Services,crimping tool crimping tooldlink
FY23,3870.0,0,3870.0,711288384473 Camera CCTV -DS-2CE16D0T-ITPF-HD Bullet Camera 2MP with switch mode button-Hikvi,1,Equipment,camera cctv ds2ce16d0titpfhd bullet camera 2mp with switch mode buttonhikvi
FY23,2540.0,0,2540.0,Camera CCTV -DS-2CE76D0T-ITPFS-HD Dome Camera 2MP with switch mode button-Hikvis,1,Equipment,camera cctv ds2ce76d0titpfshd dome camera 2mp with switch mode buttonhikvis
FY23,10475.0,0,10475.0,"Hard Disk Drive- -6TB, Surveillance-Seagate",1,Equipment,hard disk drive 6tb surveillanceseagate
FY23,26000.0,0,26000.0,Camera CCTV -DS-2CD1023G0E-I-IP Bullet Camera 2MP-Hikvision,1,Equipment,camera cctv ds2cd1023g0eiip bullet camera 2mphikvision
FY23,177000.0,0,177000.0,MEP -HOTO of Tower 11A/MLCP,2,Material,mep hoto of tower 11amlcp
FY23,215000.0,0,215000.0,AIR OK PO 27245 SITC AirOK Air Cleaner for server room T11,1,Equipment,air ok po sitc airok air cleaner for server room t11
FY23,215000.0,0,215000.0,SITC of AirOK CG 1000 Air Cleaner(for server room) T-11,1,Equipment,sitc of airok cg air cleanerfor server room t
FY23,138600.0,0,138600.0,ABT Meter CTPT foundation and ALT Structure installation at UPPCL Substation.,1,Equipment,abt meter ctpt foundation and alt structure installation at uppcl substation
FY23,115002.0,0,115002.0,ABT Meter CTPT foundation and ALT Structure installation at UPPCL Substation.,1,Equipment,abt meter ctpt foundation and alt structure installation at uppcl substation
FY23,16500.0,0,16500.0,Spring Seesaw Two Seater NES 4410 Size 5.5 x 1 x 1.5 Ft.,0,Services,spring seesaw two seater nes size x x ft
FY23,32750.0,0,32750.0,Star Type MGRMS Seat NES 4205 Size 5 x 5 x 3 Ft.,0,Services,star type mgrms seat nes size x x ft
FY23,77850.0,0,77850.0,Multi Seater Swing NES 4110 Size 21 x 6 x 8 Ft.,0,Services,multi seater swing nes size x x ft
FY23,32550.0,0,32550.0,Toddler Slide NES 3801 Size 9 x 2 x 4.5 Ft.,0,Services,toddler slide nes size x x ft
FY23,48000.0,0,48000.0,Trf to Exp to Cwip 0183202223,0,Services,trf to exp to cwip
FY23,77850.0,0,77850.0,NAREMA PO 27725 Multi Seater Swing for creche,0,Services,narema po multi seater swing for creche
FY23,16500.0,0,16500.0,NAREMA PO 27725 Spring Seesaw Two Seater for creche,0,Services,narema po spring seesaw two seater for creche
